quest_id,title,static_result,simulation_result
G001,The Missing Blade,PASS,PASS
G002,Recover the Lost Sword,PASS,PASS
G003,Retrieve the Magic Stone,PASS,PASS
G004,Retrieve the Magic Stone,PASS,PASS
G005,The Ranger's Lost Sword,PASS,PASS
G006,The Missing Blade,PASS,PASS
G007,Recover the Lost Sword,PASS,PASS
G008,The Missing Blade,PASS,PASS
G009,The Glimmering Stone,PASS,PASS
G010,The Woodcutter's Lost Blade,PASS,PASS
G011,The Missing Blade,PASS,PASS
G012,Recover the Lost Sword,PASS,PASS
